Category,JEE Marks,MHT-CET Marks,Branch,10th Marks,12th Marks
SC,137,40,Mechanical,88,58
General,94,99,Biotechnology,78,73
ST,150,177,Computer Science,64,50
ST,263,153,Electrical,92,93
SC,274,25,Computer Science,57,57
OBC,159,38,Electrical,70,73
ST,236,163,Chemical Engineering,88,60
SC,192,15,Chemical Engineering,68,66
SC,147,135,Biotechnology,72,57
OBC,82,130,Biotechnology,60,84
OBC,189,49,Civil,60,84
SC,162,155,Biotechnology,73,82
SC,298,61,Chemical Engineering,85,54
SC,286,160,Civil,89,91
OBC,46,199,Chemical Engineering,73,88
General,190,12,Electrical,52,90
OBC,270,193,Computer Science,71,77
ST,8,4,Electrical,51,56
General,106,177,Biotechnology,73,58
SC,51,184,Electrical,93,57
OBC,75,167,Mechanical,79,61
ST,67,30,Biotechnology,87,83
OBC,173,90,Electrical,51,82
OBC,93,190,Mechanical,70,97
General,48,121,Civil,82,72
OBC,214,3,Biotechnology,61,73
OBC,218,122,Biotechnology,71,86
OBC,128,61,Electrical,93,84
ST,155,1,Mechanical,74,93
OBC,120,65,Chemical Engineering,98,89
SC,39,84,Civil,76,71
ST,204,190,Mechanical,91,76
General,156,52,Civil,77,84
OBC,153,17,Electrical,65,50
SC,38,176,Chemical Engineering,64,84
General,17,196,Computer Science,96,86
ST,85,173,Computer Science,93,96
OBC,36,30,Chemical Engineering,52,63
SC,168,21,Mechanical,86,52
ST,52,143,Mechanical,56,50
OBC,198,28,Chemical Engineering,70,54
OBC,33,65,Biotechnology,58,75
ST,164,21,Computer Science,88,63
OBC,76,98,Civil,67,88
SC,224,190,Chemical Engineering,53,76
General,166,78,Biotechnology,74,58
General,213,26,Chemical Engineering,63,64
ST,61,101,Electrical,99,64
OBC,7,140,Biotechnology,58,75
OBC,143,117,Mechanical,75,91
ST,98,33,Civil,51,62
General,182,31,Computer Science,69,81
SC,164,127,Biotechnology,77,88
General,158,0,Computer Science,96,98
ST,17,10,Civil,56,81
OBC,37,192,Mechanical,93,53
SC,42,121,Mechanical,57,79
ST,23,5,Electrical,96,86
ST,236,126,Mechanical,84,72
SC,81,187,Electrical,63,88
General,196,52,Chemical Engineering,66,94
General,190,11,Computer Science,85,64
ST,139,190,Electrical,99,92
OBC,292,58,Mechanical,89,78
General,167,121,Computer Science,53,85
General,236,171,Mechanical,51,62
SC,88,185,Chemical Engineering,55,81
OBC,107,59,Computer Science,91,56
SC,59,197,Mechanical,53,71
ST,149,71,Civil,78,77
OBC,57,0,Biotechnology,67,51
SC,109,116,Chemical Engineering,75,91
OBC,50,129,Civil,93,94
OBC,5,55,Civil,83,55
OBC,24,83,Mechanical,59,77
General,22,65,Biotechnology,85,77
ST,108,30,Mechanical,63,93
OBC,219,122,Biotechnology,80,93
OBC,15,162,Electrical,97,69
General,21,29,Biotechnology,64,79
OBC,189,86,Mechanical,57,60
ST,288,136,Computer Science,63,77
General,129,69,Mechanical,72,74
General,121,200,Mechanical,89,88
General,274,176,Mechanical,70,82
SC,187,8,Chemical Engineering,65,50
General,240,180,Mechanical,94,76
SC,270,124,Biotechnology,67,62
General,125,32,Electrical,96,90
OBC,182,147,Biotechnology,73,52
OBC,278,146,Chemical Engineering,75,88
OBC,69,80,Chemical Engineering,74,55
OBC,4,33,Biotechnology,94,57
ST,235,107,Computer Science,90,76
General,243,195,Electrical,78,58
OBC,118,37,Mechanical,64,86
General,212,199,Biotechnology,94,82
OBC,133,52,Civil,50,91
ST,292,200,Biotechnology,74,93
SC,276,130,Computer Science,56,73
General,174,30,Computer Science,66,78
OBC,0,31,Biotechnology,95,61
OBC,38,190,Chemical Engineering,74,92
SC,106,113,Chemical Engineering,70,86
General,191,45,Chemical Engineering,65,90
OBC,79,170,Mechanical,77,60
General,124,63,Mechanical,69,70
General,236,176,Mechanical,90,75
OBC,21,91,Mechanical,62,74
OBC,29,77,Mechanical,63,73
SC,272,124,Biotechnology,64,59
SC,270,123,Computer Science,60,75
OBC,102,196,Mechanical,73,97
ST,141,183,Computer Science,66,48
ST,70,28,Biotechnology,89,85
SC,171,121,Biotechnology,72,86
General,101,107,Biotechnology,80,68
SC,277,126,Biotechnology,71,64
OBC,124,66,Chemical Engineering,100,86
OBC,30,36,Chemical Engineering,47,63
General,85,106,Biotechnology,74,71
OBC,292,49,Mechanical,93,74
SC,90,192,Electrical,62,86
OBC,74,161,Mechanical,83,58
General,150,42,Civil,77,83
General,13,69,Biotechnology,81,76
ST,24,0,Electrical,91,86
ST,73,39,Biotechnology,87,82
General,119,35,Electrical,98,90
OBC,14,142,Biotechnology,54,77
OBC,283,147,Chemical Engineering,71,88
ST,233,117,Mechanical,86,74
OBC,26,71,Biotechnology,60,72
OBC,62,83,Chemical Engineering,70,52
SC,74,187,Electrical,65,89
General,27,22,Biotechnology,62,75
OBC,55,189,Chemical Engineering,70,89
General,189,3,Computer Science,88,64
General,180,7,Computer Science,88,68
General,220,16,Chemical Engineering,65,68
General,194,2,Computer Science,87,63
ST,97,32,Civil,49,62
ST,22,14,Civil,60,85
OBC,285,54,Mechanical,86,73
ST,157,171,Computer Science,62,52
ST,98,38,Civil,55,59
ST,233,161,Chemical Engineering,91,60
OBC,65,161,Mechanical,82,58
OBC,41,120,Civil,96,92
SC,174,20,Mechanical,89,55
ST,17,9,Electrical,53,53
ST,271,152,Electrical,95,89
General,124,39,Electrical,91,87
SC,78,182,Electrical,59,91
SC,284,169,Civil,84,94
SC,146,138,Biotechnology,69,52
OBC,191,152,Biotechnology,76,51
SC,158,118,Biotechnology,79,92
General,92,105,Biotechnology,75,71
General,121,200,Mechanical,87,84
OBC,76,71,Chemical Engineering,72,52
SC,71,196,Electrical,60,91
OBC,62,0,Biotechnology,64,47
OBC,85,96,Civil,66,92
SC,191,22,Chemical Engineering,68,67
General,220,28,Chemical Engineering,63,59
SC,28,171,Chemical Engineering,63,79
OBC,214,123,Biotechnology,78,96
OBC,179,94,Mechanical,59,55
General,9,200,Computer Science,97,83
OBC,145,113,Mechanical,71,89
ST,264,156,Electrical,87,91
General,97,107,Biotechnology,79,75
OBC,165,31,Electrical,71,77
General,163,1,Computer Science,94,96
ST,265,149,Electrical,96,97
General,151,0,Computer Science,95,100
